StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Consent form,Twitter use,AI understanding,Application,Experience,Moderation,Benefit to user,Fairness,Trust algorithm mod.,Human moderation,Race discr.,Sexual orient discr.,Gender discr.,Religion discr.,Effective moderation,AI acceleration,AI + human,Hate speech,Misinformation,Disinformation,Political spectrum_1,Minimum wage_1,Schooling_1,Immigrants_1,Helping needy_1,Country,State,Education,Gender,Gender_4_TEXT,Ethnicity,Income,Age
2024-03-18 10:29:29,2024-03-18 10:30:21,IP Address,17,51,False,2024-03-25 10:29:31,R_8BmP15pb5EQ5mFt,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",A few times per month,,,,,,,,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,
2024-03-19 07:00:02,2024-03-19 07:10:30,IP Address,95,628,False,2024-03-26 07:00:05,R_8jPwftw9TapDNkC,anonymous,EN,0.5,,0,0,,"I consent, begin the study",A few times per week,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1,,,,,Japan,,Master's degree,Male,,Asian,Prefer not to say,
2024-03-19 07:50:55,2024-03-19 07:51:06,IP Address,5,10,False,2024-03-26 07:50:57,R_7wgntDDBRoThnRE,anonymous,EN,0.8999999761581421,,0,10,,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-26 14:07:45,2024-03-26 15:00:45,IP Address,100,3179,True,2024-03-26 15:00:45,R_3dL9qgVfaeqDiCf,anonymous,EN,0.8999999761581421,,0,30,,"I consent, begin the study",A few times per month,Neither agree nor disagree,Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,2,-2,-5,1,-1,Sweden,,Some tertiary education but no degree,Male,,"White or Caucasian,Other","$25,000-$49,999",26
2024-03-20 05:13:18,2024-03-20 05:14:25,IP Address,17,67,False,2024-03-27 05:13:20,R_4XJ5w7RtAuHDsVb,anonymous,EN,0.6000000238418579,,0,0,,"I consent, begin the study",Multiple times per day,,,,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20 05:30:43,2024-03-20 05:35:50,IP Address,97,306,False,2024-03-27 05:30:46,R_89d1DxRNvKo3W48,anonymous,EN,1,,0,0,,"I consent, begin the study",Multiple times per day,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Somewhat Agree,Agree,Agree,0,-4,-5,2,-2,Poland,,Bachelor's degree (3 or 4-year),Female,,White or Caucasian,Prefer not to say,22
2024-03-20 05:36:46,2024-03-20 05:37:33,IP Address,18,47,False,2024-03-27 05:36:51,R_25sZQWab1HjmOyu,anonymous,EN,0.8999999761581421,,0,25,,"I consent, begin the study",A few times per week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20 05:47:12,2024-03-20 05:49:00,IP Address,30,107,False,2024-03-27 05:47:17,R_51dEGTtsYRLt9ei,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Multiple times per day,Agree,Agree,Disagree,Agree,,,,,,,,,,,,,,,4,,,,,,,,,,,,
2024-03-20 05:49:45,2024-03-20 05:52:53,IP Address,40,187,False,2024-03-27 05:49:46,R_2EFRc83bLzS3dvr,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",A few times per year or less,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Agree,,,,,,,,,,,,,,,1,-5,-4,-2,-3,,,,,,,,
2024-03-20 05:55:31,2024-03-20 05:55:43,IP Address,8,12,False,2024-03-27 05:55:33,R_5JKDy8qXR8UE65P,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20 06:19:07,2024-03-20 06:21:23,IP Address,2,136,False,2024-03-27 06:19:14,R_2E0N56YsrO4UdWJ,anonymous,EN,1,,0,0,,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20 07:04:04,2024-03-20 07:05:46,IP Address,63,101,False,2024-03-27 07:04:07,R_2khnlP7t68uW9BX,anonymous,EN,1,,0,0,,"I consent, begin the study",A few times per week,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,,,,Somewhat agree,,,,,Strongly disagree,Somewhat disagree,Strongly agree,Strongly Disagree,Somewhat Disagree,Disagree,0,-5,-5,-5,-5,,,,,,,,
2024-03-20 07:46:45,2024-03-20 07:47:09,IP Address,13,23,False,2024-03-27 07:46:49,R_2gB55sKgMt6cgg1,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",A few times per year or less,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20 08:58:50,2024-03-20 08:59:14,IP Address,12,23,False,2024-03-27 08:58:51,R_6aYAOz4xYkb3JtL,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",A few times per week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20 12:42:46,2024-03-20 12:43:09,IP Address,17,23,False,2024-03-27 12:42:48,R_4F7dNiu2FFdczqp,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Multiple times per day,,,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20 13:42:26,2024-03-20 13:45:03,IP Address,45,156,False,2024-03-27 13:42:38,R_2y71jykpbEaEX6q,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Multiple times per day,,,,,Strongly Disagree,Strongly disagree,Strongly Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,,,,,,,7,,,-1,1,,,,,,,,
2024-03-20 15:41:16,2024-03-20 15:43:22,IP Address,40,125,False,2024-03-27 15:41:17,R_2bkbgLysgxg2PwB,anonymous,EN,0.800000011920929,,0,0,,"I consent, begin the study",A few times per week,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,,,,,,,,,Strongly agree,Neither agree nor disagree,,Strongly Agree,Agree,Strongly Disagree,,,,,,,,,,,,,
2024-03-21 05:19:50,2024-03-21 05:24:17,IP Address,5,267,False,2024-03-28 05:19:57,R_2GWDzCMKH1sBmkp,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-21 13:36:19,2024-03-21 13:37:35,IP Address,22,76,False,2024-03-28 13:36:20,R_2FF10xXXXO2SB5a,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",A few times per year or less,,,,,,,,,,,,,,,,,,,1,-4,-5,,,,,,,,,,
2024-03-21 13:52:06,2024-03-21 13:54:46,IP Address,97,160,False,2024-03-28 13:52:07,R_2VbLKkXz2FsFcVH,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",A few times per year or less,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat disagree,Disagree,Somewhat agree,Agree,Somewhat disagree,Disagree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,6,1,-1,2,1,United States of America,Arkansas,Bachelor's degree (3 or 4-year),Female,,Black or African American,"Less than $25,000",21
2024-03-22 01:14:01,2024-03-22 01:56:25,IP Address,55,2544,False,2024-03-29 01:14:08,R_6dadCSyijDhN1kN,anonymous,EN,1,,0,0,,"I consent, begin the study",A few times per week,Somewhat Agree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Somewhat Disagree,Agree,Somewhat agree,,,,,,,,,,4,-1,-1,1,-1,,,,,,,,
2024-03-22 06:10:04,2024-03-22 06:33:19,IP Address,12,1395,False,2024-03-29 06:10:08,R_3PielwEwaC0fTI4,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",A few times per year or less,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-22 10:52:38,2024-03-22 11:02:09,IP Address,97,571,False,2024-03-29 10:52:41,R_5J0KXFgNupLhlN7,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",A few times per week,Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Disagree,Somewhat Agree,5,4,-3,-2,2,Netherlands,,High school graduate (high school diploma or equivalent),Male,,White or Caucasian,"$150,000 or more",22
2024-03-24 08:42:05,2024-03-24 08:44:50,IP Address,97,165,False,2024-03-31 08:42:10,R_3sSUPyb1f2H27lf,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Multiple times per day,Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly disagree,Strongly Disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Disagree,Somewhat agree,Disagree,Strongly Disagree,Strongly Disagree,0,-5,-5,-5,-5,Netherlands,,Master's degree,Female,,White or Caucasian,"$150,000 or more",24
2024-03-25 05:40:26,2024-03-25 05:41:43,IP Address,25,76,False,2024-04-01 05:40:27,R_7pupn9WqzYfQUQY,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",A few times per year or less,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-09 02:40:30,2024-04-09 02:40:48,IP Address,100,18,True,2024-04-09 02:40:49,R_2JPccXm3F9sKq5p,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-09 05:01:42,2024-04-09 05:05:26,IP Address,100,224,True,2024-04-09 05:05:27,R_4DSqkqcUAo0Mx9q,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",A few times per year or less,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Strongly Disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Somewhat agree,Somewhat Disagree,Strongly Disagree,Disagree,1,-2,-5,-5,-5,United States of America,California,Bachelor's degree (3 or 4-year),Female,,"White or Caucasian,Black or African American","$150,000 or more",30
2024-04-09 08:40:20,2024-04-09 09:01:16,IP Address,100,1255,True,2024-04-09 09:01:16,R_2ERO1feSdogHTIl,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Multiple times per day,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Somewhat Disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Somewhat Disagree,Somewhat Disagree,Agree,0,-4,-5,2,-2,Germany,,High school graduate (high school diploma or equivalent),Female,,White or Caucasian,"$50,000-$74,999",20
2024-04-09 14:39:26,2024-04-09 14:43:54,IP Address,100,267,True,2024-04-09 14:43:55,R_1NERcHRp1EtV3s2,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Multiple times per day,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,2,-4,-5,-5,-4,United Kingdom of Great Britain and Northern Ireland,,Some tertiary education but no degree,Female,,White or Caucasian,"$25,000-$49,999",18
2024-04-15 11:18:45,2024-04-15 11:24:56,IP Address,100,371,True,2024-04-15 11:24:57,R_1T0GTmx9mjkQPD3,anonymous,EN,0.8999999761581421,,0,75,,"I consent, begin the study",A few times per month,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat agree,Somewhat Agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,6,0,-4,-3,-2,Netherlands,,Bachelor's degree (3 or 4-year),Prefer not to say,,White or Caucasian,"$150,000 or more",22
2024-04-16 02:54:39,2024-04-16 03:00:51,IP Address,100,371,True,2024-04-16 03:00:52,R_26mXdPM57aMD4tb,anonymous,EN,0.699999988079071,,0,5,,"I consent, begin the study",A few times per month,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Disagree,Strongly disagree,,,,Neither agree nor disagree,Disagree,Disagree,7,1,-2,-4,1,Poland,,Master's degree,Male,,Prefer not to say,"$150,000 or more",49
2024-04-16 03:48:56,2024-04-16 03:57:48,IP Address,100,531,True,2024-04-16 03:57:49,R_6F4K2dQVw0iOL2t,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",A few times per month,Somewhat Agree,Agree,Disagree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat Disagree,Disagree,5,1,0,0,1,Poland,,Master's degree,Female,,White or Caucasian,"$75,000-$99,999",52
2024-04-16 04:42:27,2024-04-16 04:47:29,IP Address,100,301,True,2024-04-16 04:47:29,R_2qrCz0GWrx3kgKr,anonymous,EN,0.699999988079071,,0,0,,"I consent, begin the study",Multiple times per day,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Disagree,,,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,3,2,-3,2,0,United States of America,New York,Bachelor's degree (3 or 4-year),Male,,White or Caucasian,Prefer not to say,29
2024-04-09 06:17:31,2024-04-09 06:18:11,IP Address,5,40,False,2024-04-16 06:17:34,R_1e2r26nlAGhtL8v,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-16 07:26:15,2024-04-16 07:32:22,IP Address,100,366,True,2024-04-16 07:32:22,R_31owJC64QBYc0Xx,anonymous,EN,0.20000000298023224,,0,105,,"I consent, begin the study",Multiple times per day,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Strongly disagree,Disagree,Strongly agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Disagree,2,5,-5,3,-2,Pakistan,,High school graduate (high school diploma or equivalent),Male,,"Asian,Other","$50,000-$74,999",21
2024-04-16 08:26:16,2024-04-16 08:30:13,IP Address,100,237,True,2024-04-16 08:30:14,R_1aznyxQzInnD0Qh,anonymous,EN,0.4000000059604645,,0,0,,"I consent, begin the study",Multiple times per day,Agree,Agree,Agree,Somewhat Disagree,Disagree,Strongly disagree,Strongly Disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,3,-2,-2,-3,-3,United Kingdom of Great Britain and Northern Ireland,,Bachelor's degree (3 or 4-year),Prefer to self-describe,Hielke,Asian,Prefer not to say,21
2024-04-16 08:41:26,2024-04-16 08:50:36,IP Address,100,549,True,2024-04-16 08:50:37,R_4qVRfya0kaGGEP0,anonymous,EN,0.800000011920929,,0,0,,"I consent, begin the study",Multiple times per day,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Disagree,6,5,-5,-3,-2,Pakistan,,High school graduate (high school diploma or equivalent),Male,,Other,"$100,000-$149,999",21
2024-04-16 11:10:49,2024-04-16 11:14:59,IP Address,100,249,True,2024-04-16 11:15:00,R_7CCSgtKNFgF0G3T,anonymous,EN,0.699999988079071,,0,0,,"I consent, begin the study",Multiple times per day,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,1,-5,-5,-5,-5,United States of America,Nevada,Bachelor's degree (3 or 4-year),Female,,Asian,"$150,000 or more",25
2024-04-16 16:05:29,2024-04-16 16:12:27,IP Address,100,417,True,2024-04-16 16:12:28,R_5VC47ldxX9UU6DZ,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",A few times per week,Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Strongly Agree,Somewhat agree,Agree,Agree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,3,-2,-2,0,-2,Netherlands,,Some tertiary education but no degree,Male,,White or Caucasian,"Less than $25,000",27
2024-04-17 04:26:02,2024-04-17 04:29:31,IP Address,100,208,True,2024-04-17 04:29:32,R_1F9hk1gpmgH5sdd,anonymous,EN,0.699999988079071,,0,0,,"I consent, begin the study",A few times per year or less,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat agree,Somewhat Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Agree,Strongly agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,4,0,-5,-3,1,Netherlands,,Master's degree,Male,,White or Caucasian,"Less than $25,000",24
2024-04-17 05:58:52,2024-04-17 06:08:21,IP Address,100,569,True,2024-04-17 06:08:22,R_5Cvt3eXjChZNKrI,anonymous,EN,0.699999988079071,,0,0,,"I consent, begin the study",Multiple times per day,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat agree,Somewhat Disagree,Agree,Strongly disagree,Somewhat disagree,Strongly disagree,Disagree,Disagree,Agree,,Disagree,Strongly Disagree,Somewhat Agree,0,-5,-5,-4,-5,Netherlands,,Bachelor's degree (3 or 4-year),Male,,White or Caucasian,"Less than $25,000",27
2024-04-17 09:19:44,2024-04-17 09:24:43,IP Address,100,299,True,2024-04-17 09:24:45,R_7guwi36CXu7OSrH,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Multiple times per day,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Strongly Agree,Agree,7,3,1,2,-2,Netherlands,,Bachelor's degree (3 or 4-year),Male,,White or Caucasian,"$100,000-$149,999",55
2024-04-17 09:48:45,2024-04-17 10:01:04,IP Address,100,739,True,2024-04-17 10:01:05,R_33E3gUOElPGjVId,anonymous,EN,1,,0,0,,"I consent, begin the study",A few times per week,Somewhat Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,,Somewhat agree,Disagree,Strongly Disagree,Strongly Disagree,1,-5,-3,-3,-3,Netherlands,,Bachelor's degree (3 or 4-year),Female,,White or Caucasian,Prefer not to say,63
2024-04-17 11:01:14,2024-04-17 11:06:58,IP Address,100,343,True,2024-04-17 11:06:58,R_60IMXMURpnzedQO,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",A few times per week,Neither agree nor disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Agree,Somewhat Agree,Agree,Agree,6,2,-2,0,-1,Netherlands,,Bachelor's degree (3 or 4-year),Male,,White or Caucasian,"$75,000-$99,999",47
2024-04-17 11:07:53,2024-04-17 11:12:31,IP Address,100,277,True,2024-04-17 11:12:31,R_20H4Dip1iXx2de3,anonymous,EN,0.800000011920929,,0,0,,"I consent, begin the study",A few times per week,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat disagree,Disagree,Agree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,2,-2,-3,2,-3,Netherlands,,Bachelor's degree (3 or 4-year),Female,,White or Caucasian,"$100,000-$149,999",45
2024-04-16 16:04:18,2024-04-16 16:04:26,IP Address,5,8,False,2024-04-23 16:04:20,R_1eE3pJmZzn6Sw2n,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-17 04:27:53,2024-04-17 04:28:26,IP Address,8,32,False,2024-04-24 04:27:55,R_27QyrVWOTuxPRhn,anonymous,EN,0.8999999761581421,,0,0,,"I consent, begin the study",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-17 04:57:44,2024-04-17 05:11:08,IP Address,80,803,False,2024-04-24 04:57:45,R_8uridvamIt1705j,anonymous,EN,0.800000011920929,,0,0,,"I consent, begin the study",A few times per year or less,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,5,-2,-5,-4,-3,,,,,,,,
